,MovieName,EnglishName,OtherName,Director,Actors,Year,Country,Grenre,Rating10,RatingNum,Description
138,英雄本色,,A Better Tomorrow  /  Gangland Boss, 吴宇森 John Woo, 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,香港,动作 犯罪,8.6,162166人评价,英雄泪短，兄弟情长。
139,猜火车,Trainspotting,迷幻列车(港)  /  定位的火车, 丹尼·博伊尔 Danny Boyle, 伊万·麦克格雷格 Ewan McGregor / ...,1996,英国,犯罪 剧情,8.5,249216人评价,不可猜的青春迷笛。
140,恋恋笔记本,The Notebook,深情日记  /  写我情真, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情,8.5,282074人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
141,穿越时空的少女,時をかける少女,跳跃吧！时空少女(台)  /  Toki o kakeru sh?jo, 细田守 Mamoru Hosoda, 仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006,日本,剧情 爱情 科幻 动画,8.6,185919人评价,爱上未来的你。
142,魂断蓝桥,Waterloo Bridge,滑铁卢桥  /  断桥残梦, Mervyn LeRoy, Vivien Leigh / Robert Taylor / Lucile Watson,1940,美国,剧情 战争 爱情,8.8,129415人评价,中国式内在的美国电影。
143,傲慢与偏见,Pride & Prejudice,傲慢与偏见2005  /  Pride And Prejudice, 乔·怀特 Joe Wright, 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情,8.4,301443人评价,爱是摈弃傲慢与偏见之后的曙光。
144,雨中曲,Singin' in the Rain,雨中情  /  万花嬉春, Stanley Donen / Gene Kelly, Gene Kelly / Donald O'Connor / ...,1952,美国,喜剧 歌舞 爱情,8.9,93212人评价,骨灰级歌舞片。
145,教父3,The Godfather: Part III,教父第三集  /  教父 III, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,1990,美国,剧情 犯罪,8.7,129878人评价,任何信念的力量，都无法改变命运。
146,完美的世界,A Perfect World,强盗保镳, 克林特·伊斯特伍德 Clint Eastwood, 凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 犯罪,9.0,79769人评价,坏人的好总是比好人的好来得更感人。
147,纵横四海,緃横四海,Once a Thief, 吴宇森 John Woo, 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,香港,剧情 喜剧 动作 犯罪,8.7,144913人评价,香港浪漫主义警匪动作片的巅峰之作。
148,玩具总动员3,Toy Story 3,反斗奇兵3(港)  /  玩具的故事3, 李·昂克里奇 Lee Unkrich, 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险,8.8,191764人评价,跨度十五年的欢乐与泪水。
149,萤火之森,蛍火の杜へ,萤火之社  /  Hotarubi no mori e, 大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻,8.7,156513人评价,触不到的恋人。
150,7号房的礼物,7??? ??,戆爸的礼物(港)  /  7号囚房的礼物, 李焕庆 Hwan-kyeong Lee, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭,8.7,174531人评价,《我是山姆》的《美丽人生》。
151,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台), 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,剧情 悬疑 奇幻 冒险,8.6,272665人评价,10年的完美句点。
152,花样年华,花樣年華,In the Mood for Love, 王家卫 Kar Wai Wong, 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,香港 法国,剧情 爱情,8.5,246642人评价,偷情本没有这样美。
153,海边的曼彻斯特,Manchester by the Sea,情系海边之城(港)  /  海曼, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭,8.6,172537人评价,我们都有权利不与自己的过去和解。
154,荒蛮故事,Relatos salvajes,蛮荒故事  /  生命中最抓狂的小事(台), 达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.7,136139人评价,始于荒诞，止于更荒诞。
155,我是山姆,I Am Sam,不一样的爸爸(港)  /  他不笨，他是我爸爸(台), 杰茜·尼尔森 Jessie Nelson, Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭,8.8,103115人评价,爱并不需要智商 。
156,人工智能,Artificial Intelligence: AI,AI人工智慧, 史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley...,2001,美国,冒险 剧情 科幻,8.6,189394人评价,对爱的执着，可以超越一切。
157,二十二,,Twenty Two  /  22, 郭柯 Ke Guo,,2015,中国大陆,纪录片,8.8,85967人评价,有一些东西不应该被遗忘。
158,浪潮,Die Welle,恶魔教室(台)  /  白恤暴潮(港), 丹尼斯·甘塞尔 Dennis Gansel, 尤尔根·沃格尔 Jürgen Vogel ...,2008,德国,剧情 惊悚,8.7,132035人评价,世界离独裁只有五天。
159,小森林 冬春篇,リトル?フォレスト 冬?春,小森食光 / 冬春篇(台), 森淳一 Junichi Mori, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情,8.9,111814人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
160,香水,Perfume: The Story of a Murderer,香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事, 汤姆·提克威 Tom Tykwer, 本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,8.4,275245人评价,一个单凭体香达到高潮的男人。
161,冰川时代,Ice Age,冰河世纪  /  冰原历险记, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,NaN,2002,美国,喜剧 动画 冒险,8.4,269363人评价,松鼠才是角儿。
162,朗读者,The Reader,为爱朗读(台)  /  读爱(港), 史蒂芬·戴德利 Stephen Daldry, 凯特·温丝莱特 Kate Winslet ...,2008,美国 德国,剧情 爱情,8.5,277524人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
163,时空恋旅人,About Time,时空旅恋人  /  回到最爱的一天(港), 理查德·柯蒂斯 Richard Curtis, 多姆纳尔·格利森 Domhnall Gl...,2013,英国,剧情 爱情 奇幻,8.6,197502人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
164,追随,Following,致命追踪  /  跟踪, 克里斯托弗·诺兰 Christopher Nolan, 杰里米·西奥伯德 Jeremy...,1998,英国,犯罪 悬疑 惊悚,8.9,81707人评价,诺兰的牛逼来源于内心散发出的恐惧。
165,唐伯虎点秋香,唐伯虎點秋香,Flirting Scholar, 李力持 Lik-Chi Lee, 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,香港,喜剧 爱情 古装,8.4,321752人评价,华太师是黄霑，吴镇宇四大才子之一。
166,心迷宫,,殡棺  /  The Coffin in the Mountain, 忻钰坤 Yukun Xin, 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑,8.6,159793人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
167,撞车,Crash,冲击效应  /  冲撞, 保罗·哈吉斯 Paul Haggis, 桑德拉·布洛克 Sandra Bullock / ...,2004,美国 德国,犯罪 剧情,8.6,173750人评价,天使与魔鬼的冲撞。
168,超能陆战队,Big Hero 6,大英雄联盟(港)  /  大英雄天团(台), 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams, 斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险,8.6,365306人评价,Balalala~~~
169,罗生门,羅生門,Rashomon, 黑泽明 Akira Kurosawa, 三船敏郎 Toshir? Mifune / 千秋实 ...,1950,日本,犯罪 剧情 悬疑,8.7,124246人评价,人生的N种可能性。
170,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台), 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.5,293083人评价,诺兰就是保证。
171,一次别离,????? ???? ?? ?????,分居风暴(台)  /  伊朗式分居(港), 阿斯哈·法哈蒂  Asghar Farhadi, 佩曼·莫阿迪 Peyman Moadi /...,2011,伊朗 法国,剧情 家庭,8.7,131645人评价,只有有信仰的人才能说出事实真相。
172,战争之王,Lord of War,军火之王(台 / 港), 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 法国,剧情 犯罪,8.5,173931人评价,做一颗让别人需要你的棋子。
173,可可西里,Kekexili: Mountain Patrol,, 陆川 Chuan Lu, 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 香港,剧情 犯罪,8.7,128272人评价,坚硬的信仰。
174,梦之安魂曲,Requiem for a Dream,噩梦挽歌(台)  /  迷上瘾(港), 达伦·阿伦诺夫斯基 Darren Aronofsky, 艾伦·伯斯汀 Ellen Bur...,2000,美国,剧情,8.7,111162人评价,一场没有春天的噩梦。
175,未麻的部屋,Perfect Blue,蓝色的恐惧  /  蓝色恐惧, 今敏 Satoshi Kon, 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,动画 奇幻 惊悚,8.8,96111人评价,好的剧本是，就算你猜到了结局也猜不到全部。
