,MovieName,EnglishName,OtherName,Director,Actors,Year,Country,Grenre,Rating10,RatingNum,Description
220,非常嫌疑犯,The Usual Suspects,刺激惊爆点(台)  /  普通嫌疑犯, 布莱恩·辛格 Bryan Singer, 史蒂芬·鲍德温 Stephen Baldwin /...,1995,德国 美国,剧情 犯罪 悬疑 惊悚,8.6,114633人评价,我不信仰上帝，但我敬畏上帝。
221,勇士,Warrior,勇者无敌(台)  /  钢铁斗士(港), 加文·欧康诺 Gavin O'Connor, 汤姆·哈迪 Tom Hardy / 乔尔·...,2011,美国,剧情 运动 家庭,8.9,86531人评价,热血沸腾，相当完美的娱乐拳击大餐。
222,房间,Room,不存在的房间(台)  /  抖室(港), 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,146882人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
223,上帝也疯狂,The Gods Must Be Crazy,众神也疯狂 (上)  /  上帝一定发疯了 (上), Jamie Uys, Marius Weyers / Sandra Prinsloo / N!xau,1980,博茨瓦纳 南非,喜剧,8.6,94819人评价,纯净原始的笑与感动。
224,爱在午夜降临前,Before Midnight,爱在午夜希腊时(台)  /  情约半生(港), 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,2013,美国,剧情 爱情,8.8,113184人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
225,蓝色大门,藍色大門,蓝色夏恋  /  Blue Gate Crossing, 易智言 Chih-yen Yee, 陈柏霖 Bo-lin Chen / 桂纶镁 Lunmei Kwa...,2002,台湾 法国,剧情 爱情 同性,8.3,269963人评价,青春的窃窃私语。
226,无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险,8.6,181505人评价,迪士尼和皮克斯拿错剧本的产物。
227,国王的演讲,The King's Speech,皇上无话儿(港)  /  王者之声：宣战时刻(台), 汤姆·霍珀 Tom Hooper, 柯林·菲尔斯 Colin Firth / 杰弗里·...,2010,英国 澳大利亚 美国,剧情 传记 历史,8.3,333928人评价,皇上无话儿。
228,血钻,Blood Diamond,血腥钻石  /  滴血钻石, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国,剧情 惊悚 冒险,8.5,128716人评价,每个美丽事物背后都是滴血的现实。
229,疯狂的石头,Crazy Stone,, 宁浩 Hao Ning, 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 香港,喜剧 犯罪,8.2,306895人评价,中国版《两杆大烟枪》。
230,爱·回家,???...,外婆的家  /  回家路上, 李廷香 Jeong-hyang Lee, 金艺芬 Eul-boon Kim / 俞承豪 Seung-...,2002,韩国,剧情 家庭,9.0,46632人评价,献给所有外婆的电影。
231,枪火,鎗火,The Mission, 杜琪峰 Johnnie To, 吴镇宇 Francis Ng / 任达华 Simon Yam / ...,1999,香港,剧情 动作 犯罪,8.6,98023人评价,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
232,大卫·戈尔的一生,The Life of David Gale,铁案悬谜  /  命悬一线, Alan Parker, 凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...,2003,美国 德国 英国,剧情 犯罪 悬疑,8.6,90155人评价,捍卫人权只是信仰，一点不妨碍其行为的残忍。
233,一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港), 汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassg?rd...,2015,瑞典,剧情,8.7,109396人评价,惠及一生的美丽。
234,千钧一发,Gattaca,变种异煞  /  自然人, 安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻,8.7,83544人评价,一部能引人思考的科幻励志片。
235,麦兜故事,麥兜故事,麦兜的故事  /  My Life as McDull, 袁建滔 Toe Yuen, 李晋纬 / 林海峰 Jan Lamb / 吴君如 Sandra Ng,2001,香港,剧情 喜剧 动画,8.5,125592人评价,麦兜是一只很哲学的猪。
236,遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台), 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情,8.5,124693人评价,用剩余不多的时间，去燃烧整个生命。
237,暖暖内含光,Eternal Sunshine of the Spotless Mind,暧暧内含光  /  美丽心灵的永恒阳光, 米歇尔·冈瑞 Michel Gondry, 金·凯瑞 Jim Carrey / 凯特·温...,2004,美国,剧情 爱情 奇幻,8.4,142225人评价,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
238,步履不停,歩いても 歩いても,横山家之味(港)  /  步伐不停, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,8.8,66667人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
239,曾经,Once,一奏倾情(港)  /  曾经。爱是唯一(台), 约翰·卡尼 John Carney, 格伦·汉塞德 Glen Hansard / 玛可塔...,2007,爱尔兰,剧情 音乐 爱情,8.3,200058人评价,有些幸福无关爱情。
240,荒岛余生,Cast Away,浩劫重生(台)  /  劫后重生(港), 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ...,2000,美国,冒险 剧情,8.5,130616人评价,一个人的独角戏。
241,彗星来的那一夜,Coherence,相干性  /  相干效应, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚,8.4,169109人评价,小成本大魅力。
242,我爱你,??? ?????,爱你  /  Late Blossom, 秋昌民 Chang-min Choo, 宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011,韩国,剧情 爱情,9.0,55221人评价,你要相信，这世上真的有爱存在，不管在什么年纪
243,蝴蝶,Le Papillon,The Butterfly, 菲利普·穆伊尔 Philippe Muyl, 米歇尔·塞罗 Michel Serrault ...,2002,法国,剧情 儿童 喜剧,8.6,93972人评价,我们长途跋涉寻找的东西，有可能一直就在身边。
244,无人知晓,誰も知らない,谁知赤子心  /  无人知晓的夏日清晨, 是枝裕和 Hirokazu Koreeda, 柳乐优弥 Y?ya Yagira / 北浦爱...,2004,日本,剧情,9.0,50493人评价,我的平常生活就是他人的幸福。
245,月球,Moon,月劫余生(港)  /  寂寞月影, 邓肯·琼斯 Duncan Jones, 山姆·洛克威尔 Sam Rockwell / 凯文...,2009,英国,剧情 科幻 悬疑,8.5,140882人评价,2009媲美《第九区》的又一部科幻神作。
246,巴黎淘气帮,Le petit Nicolas,小淘气尼古拉(台)  /  反斗小尼哥(港), Laurent Tirard, 马克西姆·戈达尔 Maxime Godart / 瓦莱丽·勒...,2009,法国 比利时,儿童 喜剧 家庭,8.6,103209人评价,四百击的反面。
247,与狼共舞,Dances with Wolves,与狼共舞, Kevin Costner, Kevin Costner / Mary McDonnell / Graham Greene,1990,美国,冒险 剧情 西部,8.9,55152人评价,充满诗意与情怀的史诗作品。
248,偷拐抢骗,Snatch,边个够我姜(港)  /  掠夺, 盖·里奇 Guy Ritchie, 布拉德·皮特 Brad Pitt / 本尼西奥·德...,2000,英国 美国,喜剧 犯罪,8.5,114364人评价,典型盖·里奇式的英国黑色幽默黑帮片。
249,寿司之神,Jiro Dreams of Sushi,次郎的寿司梦  /  梦见寿司的次郎, 大卫·贾柏 David Gelb, 小野二郎  Jiro Ono / 小野祯一 Yoshik...,2011,美国,纪录片,8.8,81070人评价,仪式主义的狂欢，偏执狂的完胜。
